Name,description,boardgamecategory,boardgamemechanic,average_score,number_of_reviews,class
Rock Paper Scissors Game,"Pressman takes the classic game and puts it into an exciting 3D console!  Plus 2, 3 or even 4 players can play at a time.  Turn the wheel to pick Rock, Paper or Scissors. Then flip the reveal shield. Score points for any player that you beat. Special game hub is included for table-top play&#10;&#10;",['Action / Dexterity'],['Rock-Paper-Scissors'],1.31,31,1
Oneupmanship: Mine's Bigger,"&quot;Show me a good loser, and I'll show you a real loser.&quot; Oneupmanship is a satirical board game where the players struggle for money, power, and ego. The winner is the first player to earn $100,000 through any means possible: playing the stock market, building skyscrapers, gambling, or collecting trophies.&#10;&#10;","['Economic', 'Negotiation']","['Auction/Bidding', 'Dice Rolling', 'Player Elimination', 'Roll / Spin and Move', 'Trading']",1.04,75,1
Rock Paper Scissors Game,"Pressman takes the classic game and puts it into an exciting 3D console!  Plus 2, 3 or even 4 players can play at a time.  Turn the wheel to pick Rock, Paper or Scissors. Then flip the reveal shield. Score points for any player that you beat. Special game hub is included for table-top play&#10;&#10;",['Action / Dexterity'],['Rock-Paper-Scissors'],1.31,31,1
Rock Paper Scissors Game,"Pressman takes the classic game and puts it into an exciting 3D console!  Plus 2, 3 or even 4 players can play at a time.  Turn the wheel to pick Rock, Paper or Scissors. Then flip the reveal shield. Score points for any player that you beat. Special game hub is included for table-top play&#10;&#10;",['Action / Dexterity'],['Rock-Paper-Scissors'],1.31,31,1
Oneupmanship: Mine's Bigger,"&quot;Show me a good loser, and I'll show you a real loser.&quot; Oneupmanship is a satirical board game where the players struggle for money, power, and ego. The winner is the first player to earn $100,000 through any means possible: playing the stock market, building skyscrapers, gambling, or collecting trophies.&#10;&#10;","['Economic', 'Negotiation']","['Auction/Bidding', 'Dice Rolling', 'Player Elimination', 'Roll / Spin and Move', 'Trading']",1.04,75,1
Oneupmanship: Mine's Bigger,"&quot;Show me a good loser, and I'll show you a real loser.&quot; Oneupmanship is a satirical board game where the players struggle for money, power, and ego. The winner is the first player to earn $100,000 through any means possible: playing the stock market, building skyscrapers, gambling, or collecting trophies.&#10;&#10;","['Economic', 'Negotiation']","['Auction/Bidding', 'Dice Rolling', 'Player Elimination', 'Roll / Spin and Move', 'Trading']",1.04,75,1
Rock Paper Scissors Game,"Pressman takes the classic game and puts it into an exciting 3D console!  Plus 2, 3 or even 4 players can play at a time.  Turn the wheel to pick Rock, Paper or Scissors. Then flip the reveal shield. Score points for any player that you beat. Special game hub is included for table-top play&#10;&#10;",['Action / Dexterity'],['Rock-Paper-Scissors'],1.31,31,1
BreaKey,From the insert in the game pack:&#10;&#10;&quot;BreaKey is the 1st collectible key game where you can challenge your friends to a BreaKey battle!  Choose your keys carefully because some keys are stronger than others.  Only a true BreaKey master can break the code and pick the one key that will carry him to victory.  Break Off!&quot;&#10;&#10;,"['Action / Dexterity', 'Collectible Components', 'Fantasy']",['Variable Player Powers'],1.48,48,1
Rock Paper Scissors Game,"Pressman takes the classic game and puts it into an exciting 3D console!  Plus 2, 3 or even 4 players can play at a time.  Turn the wheel to pick Rock, Paper or Scissors. Then flip the reveal shield. Score points for any player that you beat. Special game hub is included for table-top play&#10;&#10;",['Action / Dexterity'],['Rock-Paper-Scissors'],1.31,31,1
Rock Paper Scissors Game,"Pressman takes the classic game and puts it into an exciting 3D console!  Plus 2, 3 or even 4 players can play at a time.  Turn the wheel to pick Rock, Paper or Scissors. Then flip the reveal shield. Score points for any player that you beat. Special game hub is included for table-top play&#10;&#10;",['Action / Dexterity'],['Rock-Paper-Scissors'],1.31,31,1
