,title,description,average_score,number_of_reviews,type
200,Dwellers Of The Forbidden City,"From the cover: ""Somewhere in the heart of the steaming jungle lies the answer to the whispered tales - rumors of a magnificent city and foul, horrid rituals! Here a brave party might find riches and wonders - or death! Is your party brave enough to face the terrors of the unknown and find - the Forbidden City! Parts of this module were used in 1980 for a major East Coast convention tournament. Information is presented here to reconstruct this exciting tournament and even more has been given to expand play. Here characters may adventure several times in a unique and interesting mini-campaign. Included in this module are background and tournament notes, referee's keys, new monsters, pre-generated characters, and eight different maps.""",0.0,0,TTRPG
979,Moorguard,"from the back cover: From out of the past an ancient wizard builds his temple from the bones of the fallen god-king... Moorguard Driven into unknown dangers the players must search for a legendary axe and shield that hold the key to their freeedom. On sacred grounds and against deadly enemies they will have to use thier greatest magic to win both safety and sweet reward. Moorguard is an exciting High Fantasy adventure created to take the work out of fantasy role playing. It contains 24 pages of new creatures, magic items and weapons, complete with a Players Handbook designed on parchment paper. This role playing game will provide hours of enjoyment as the players work together to solve the riddles of this enchanting mystical world.",0.0,0,TTRPG
990,Knights and Berserkers and Legerdemain (2nd Ed.),"Adventure! Worlds of Wonder Wealth Power From the back of the box: Why do you play role playing games? Probably the reason I play, to turn fantasies into an acceptable reality, and the key word is REALISM! Compare realisms. Compare KABAL to your present system and see!",0.0,0,TTRPG
999,The Iron Wind,"From inside the front cover: ""This is the first of the Loremaster Series, a group of fantasy aids designed to each provide the background for a complete campaign of any level. Laid out for your players on the four-color map are no less than 5 dungeons and 3 cities through which they may search for riches or death. But worlds are not all towers and dungeons, so the Loremaster series provides the cultural and political background for a series of wilderness adventures as the players journey across the map learning about their world. Two maps (scale 1"" = 20 miles) are provided, one labeled with suggested locations for each city or dungeon, so that you can release to the players just the information their characters might actually have. The dungeons and citadels are shown in sinister perspectives and laid out with numbered, keyed, floorplans - ready for you, as Gamemaster, to people them with creatures that will provide an appropriate challenge for your players. A second volume in this series is currently in development to allow you to widen the scope of your player's adventures and more will be forthcoming. Also available (by Spring '81) is a full-color continental map done in the same style as the back cover of this booklet. Ten million square miles of forests, savannas, steppes, deserts, mountains, islands plains and lakes on a 24"" x 36"" poster-sized map. Look for it at your hobby store.""",0.0,0,TTRPG
1001,The Temple to Athena,"from back cover: The fanatical worship of the goddess of all was interfered with by Desar, the ultimate evil ...and as the temple ages and deteriorates the state of things becomes more uncertain. Evil magic and devout clerics exert their efforts to control the party of adventurers! Adaptable to any fantasy role playing system.",0.0,0,TTRPG
1005,The Castle Perilous,"User summary - An RPG system published in the early days of the hobby. Based on the use of three D6 dice for resolution. For those who don't have enough 6 sided dice, a table of random numbers is included. This books contains the complete rules and two sample adventures.",0.0,0,TTRPG
1023,"Beasts, Men & Gods (1st Edition)","The rulebook for the Beasts, Men & Gods RPG.",0.0,0,TTRPG
1030,The Maghrib,"From the front cover: Wyrdworld II. An adventure for 8 to 15 characters of levels 7 through 12. Set in Wyrdworld. With adaptations for AD&D and Variant Systems. Playing time is from 4 to 6 hours. From the introduction: Heliarchus II, Emperor of Ilchania has called the party together to act as an escort and guard for his nephew Imhadrek, who is going to Asfar, the City of the Jinn to collect tribute from Malik Katsham, king of the Jinn. The duties of the party are to guard Imhadrek and the tribute, and to make sure they both return in good condition. User note: The production value for this item is very low: 10 xeroxed sheets of paper stapled together.",0.0,0,TTRPG
1043,The Nine Doctrines of Darkness,"from the back cover: TOME OF EVIL It was the King's favorite wine-flask -- until the ages-old spell wore off. Now the black bound tex of evil doctrine is the center of attention for both good and evil beings. It is your goal, Mortal!",0.0,0,TTRPG
1049,Game Masters Shield and Reference Tables,"From one of the 3rd edition Inserts: Project Director's Screen (GA-1) The Project Director's Screen has the most important tables and charts for The Morrow Project printed on heavy cardboard. Everything the Project Director needs to run The Morrow Project combat system efficiently and effectively is included on the screen. Also included in this package are separate sheets with the statistics of the basic weapons of The Morrow Project as well as statistics for other weapons which the Project Director might need. These sheets are three-whole punched in order to allow the Project Director to keep all of his Morrow Project information in a binder. GA-1 has: 1 - 11"" x 24"" Screen and 3 - 8 1/2"" x 11"" inserts printed on heavy cardboard",0.0,0,TTRPG
1055,Furioso,"from the back cover: This scenario is the complete Advanced Dungeons & Dragons tournament adventure used at the Denver Gamers Association convention, Ganghis Con held in May 1980. Centuries ago, in a far away place, an awesome weapon was invented that threatened to destroy the world. A great battle was fought over this weapon and as a result, it was tossed into the deepest part of the ocean. The weapon was thought destroyed and the world was safe once again. Many years passed, and rumors began circulating that religious fanatic named Cimosco was attempting to find the final resting place of this weapon of awesome power. If he managed to find and restore this weapon, its horror would once again be unleashed on the world. Cimsco searched for years and finally found the resting place of the terrible weapon. He enlisted the aid of the sea-dwellers and raised the remains of the artifact. What emerged from beneath the sea was nothing more than a coral-encrusted lump, but repeted blows with mighty sledges released the weapon from its stone like bondage. Four centuries of coral ans salt had not harmed it in any way. Until a way is found to destroy the weapon once and for all, its hellish power threatens all living things.",0.0,0,TTRPG
1056,"Kahldath, the Messiah","From the front cover: Wyrdworld adventure 1. An adventure for 10 to 20 characters of levels 7 through 9. Playing time is from 5 to 7 hours. From the introduction: Zhoral, the High-Priest of Ahriman in the city of Carzal has sent forth notice through all the lands of the Crimson King that he is seeking a party of strong-willed adventurers to take on a quest of an unusual nature, for which they will be amply rewarded. Those who are interested in this proposal should meet in the temple of Ahriman in Carzal, at the 15th hour on the first day of the month of the Striped Lizard. They will be expected to bring all of their equipment with them and to be prepared to embark the next morning. User note: The production value for this item is very low: 9 xeroxed sheets of paper stapled together.",0.0,0,TTRPG
1058,The Rescue of Ardene,"From the introduction: The evil wizard Gregorvich Brownski has captured Ardene, the beautiful elf princess of Silverwood. He holds her on the remote island of Laiah, deep underground. He has a standing challenge to all who dare, to try to rescue her. Official dungeon for American Eagles Tournament held 24 Feb 1980.",0.0,0,TTRPG
1060,Merc - D.O.W.,"Publisher description: ""Mercenaries, Dogs of War, a role-playing or miniatures game of late 20th century mercenaries. Rules include complete weapons lists, character generation, scenarios, maps, floor plans, which are excellent with or without a GM."" This version of the core rules includes two rulebooks plus a number of stapled-in inserts consisting of maps, charts, and tables. The primary rulebook has a cover printed on green stock. The second rulebook, with a cover made of white stock, is marked inside as ""Volume Two"" and ""Book Two."" Comments in the rulebooks indicate that the second rulebook was created to add revised and updated rules that arose from further playtesting.",0.0,0,TTRPG
1061,Skinwalkers & Shapeshifters,"From the title-page: A Guide to LYCANTHROPY for Players, Dungeon Masters, and The Curious",0.0,0,TTRPG
1062,Mage,"MAGE is a a module of the Archaeron Games System designed to be used with most existing role-playing games as well as with the Archaeron games System itself. Other fantasy role playing rules can be used in conjunction with MAGE simply by converting the spell levels of those rules to MAGE Magic Levels or EL. The Endurance (EN) of a persona or character can be expressed in terms of 'hit points', 'fatigue points', etc. simply by dividing the total of 'hit points' by EN to yield the points fer EN level shich are lost. MAGE can also be used by players as a game in its own right as a contest between MAGICIANS. Source: Book introduction",0.0,0,TTRPG
1063,Imperial Form 1: Military Player Character Forms,A set of 25 character sheets plus directions for use.,0.0,0,TTRPG
1065,Roaming Monsters - Level 2,"High quality metal figure set for use with DUNGEONS & DRAGONS and other fantasy role-playing games. Dungeon Dwellers are 25mm metal figures specially designed for use with Dungeons & Dragons and other fantasy role-playing games. They have been boxed in special assortment sets that give the player exactly the monsters and adventurers he needs for Basic D & D. All guesswork has been eliminated for the beginning player. Each Action Adventure box contains 18 to 22 figures suitable for the dungeon level indicated. All together, the sets provide every figure needed for Basic D & D - in useful quantities for gaming. This set, Roaming Monsters-Level 2, contains the following: - HOBGOBLINS - CARRION WORM - ORCS - GIANT TICKS & GIANT BEETLES - GNOMES - GHOULS/ZOMBIES (Source: From the back of the box)",0.0,0,TTRPG
1066,Pieces of Eight,"From the back cover: PIECES OF EIGHT expands upon the original rules for SKULL AND CROSSBONES and is intended for use with that game. Many of the additional rules sections are not hard and fast rules, but rather are recommendations and discussions of subjects for the Game Master. In many cases it is better for the Game Master to make rulings when many factors can enter into a ruling than to attempt to detail long and complicated rules to cover the almost limitless factors that can enter into a ruling. Some of the new rules sections, such as the rules on voodoo, are optional and are intended to be used by Game Masters with a liking for the fantasy element of fiction. Those familiar with Robert E. Howard's Black Vulmea will immediately understand how and when to apply these rules and recommendations. Finally, PIECES OF EIGHT includes three complete adventures plus outlines for further adventures. Also included with the adventures is a map of Port Royal (not the historical city but the simplified version from the designer's campaign) with a description of the buildings and some of the inhabitants. A similar map of a smaller city, Fort de France, the port city of Martinique is also included. These descriptions give the Game Master some ideas of how to construct and populate some of the other towns which are mentioned on the SKULL AND CROSSBONES map and, hopefully, will generate other adventures using them as a basis. Though we have said it before, it still warrants mention that no rules are cast in bronze and any of them can be changed by the Game Master to vary the adventures, but care should be taken when doing so.",0.0,0,TTRPG
1070,The Tombs of Valla,"From publisher blurb: The third in a series of playing aids based on the world Dyon. It is one of three dungeond used at ProCon I during the summer of 1980. Over a year in the making this dungeon proved a challenge to all who entered.It was used in the 1st-3rd and 4-6th level categories. The other dungeon used at this level was Notnaidag Robber Headquarters also one of my designs.I hope that you who are playing this dungeon will have as much fun as the people at ProCon and the Stygian Wargaming club that play-tested it. Author John C. Clegg Tombs of Valla, 1st Printing 1980",0.0,0,TTRPG
1072,Bifrost Volume 4,"From the introduction: This is Bifrost Volume IV. Within its pages you will find the means to ride into combat fully caparisoned on your black war-horse, or to swoop out of the sun astride a winged steed. Furthermore, there is a menagerie of fantastic creatures against which to match strength and skills. There are also some amendments and additions to the first three volumes.",0.0,0,TTRPG
1075,Weres: The Accursed,"This ""mini-system"" adds rules for playing shapeshifting were creatures in the Ysgarth Rules System. The rules can be used for player characters or non-player characters.",0.0,0,TTRPG
1077,Grint,"From publisher blurb: ""Het vreemde verhaal van het dorp Grint, waar Priesters, Druïden, Magiërs, Tempelridders, Zonneruiters en de Wolvenvrouwe wanhopig proberen het gevaar van de Dragers van de Zwarte Kroon te keren. Grint is een verhaal voor het systeem Queeste, en bevat 84 kaarten."" translation: ""The strange story of the Grint village, where Priests, Druids, Magiciens, Knights Templar, Sun Riders en the Lady of the Wolf, desperate try to turn the danger of Wearers of the Black Crown. Grint is a story for the Queeste system and contains 84 cards.""",0.0,0,TTRPG
1078,Tin Star,"Publisher Description Gunfights and characters in this old West role-playing and miniatures set of rules, with character types, floorplans, two pull-out pages for adentures with pre-rolled characters. BGG Description This is a set of rules for recreating tactical gunfights and shoot-outs in the setting of the American Wild West. The rules cover everything that is needed to play including character design and stats, scenario creation, and rules for campaign games. The gunfights take place as a table top miniatures game using 25mm scale figures. There are floor plans included in the rule book.",0.0,0,TTRPG
