k,Silhouette Score,Calinski-Harabasz,Inertia (WCSS)
2,0.11882108476086418,1375.1964193247763,5696.596033270508
3,0.14681551585145383,1342.0308708211498,5108.564785912942
4,0.1236994446303347,1130.2465400217066,4838.7842860303945
5,0.14961085258422932,1023.1503607229805,4597.593524399536
6,0.172925386733767,961.6981017566193,4375.11410550436
7,0.18944665932778618,900.024594832099,4206.813751686732
8,0.20649146907769073,859.6323110504702,4044.4688030096313
9,0.2228786519889582,832.0801380547695,3889.0281317117597
10,0.21744158654066295,816.2756083449777,3734.1295730798897
11,0.22752160571102095,793.0447663004034,3612.2868018003064
12,0.18538078496590796,771.6092868339304,3503.179668000218
13,0.19502870501976954,752.7207814710855,3402.650738213898
14,0.20326330297315715,737.8904005131174,3305.1814631946845
15,0.21251447526977058,722.505187408058,3219.105966111102
16,0.2190769151971614,710.3508078466878,3134.694602293225
17,0.22721524394407783,699.1183206130916,3055.960602776324
18,0.22981817619969896,688.0543664785774,2983.765364730221
19,0.23617314519967622,679.5769625499195,2911.683301171187
20,0.2438265333903918,673.3736294433749,2839.71115979313
21,0.24983377077080773,667.6499855484094,2771.5319571310038
22,0.2562382100139127,662.9170038872488,2705.477515693288
23,0.24433370341304603,659.3464096905522,2640.7475937605836
24,0.24959439593461333,655.4471780672437,2580.5439575809037
25,0.25548494089397183,652.5386927099872,2521.4402482468745
26,0.2599103518190285,647.164263946269,2471.3309620008513
27,0.26521384597618053,642.8408795610388,2421.65976051275
28,0.26473899210217344,636.8949386896064,2378.5200706026685
29,0.26878722571912744,631.5299522403238,2336.5125702090245
30,0.2631403932035458,626.8070403868609,2295.311536026833
31,0.2671505320426961,621.716985478134,2257.142948890722
32,0.26807383885179226,617.3963501238184,2219.1728667321822
33,0.27085739770157563,611.8594937305559,2185.964928446068
34,0.2610683013969947,607.0019325913541,2152.9154119998584
35,0.25899164097182575,601.121109909685,2123.9486466225867
36,0.2597241440154074,595.4718490635828,2095.99421456067
37,0.26270681493051046,590.2578405542697,2068.4709929114183
38,0.2623860681573965,585.01812833211,2042.390938730726
39,0.25626364013276326,580.0790100462119,2016.8958686521596
40,0.2557657142198316,575.6275087101759,1991.46281572506
