True_Niche_ID,Name,Average Score,Number of Reviews
0,Pandemic,7.59,108975
0,Agricola,7.93,66093
0,Love Letter,7.23,59467
0,Gloomhaven,8.74,47827
0,Gloomhaven,8.74,47827
0,Pandemic Legacy: Season 1,8.59,45041
0,Pandemic Legacy: Season 1,8.59,45041
0,Pandemic Legacy: Season 1,8.59,45041
0,Star Realms,7.58,38561
0,Blood Rage,7.99,37561
1,This War of Mine: The Board Game,7.81,9852
1,This War of Mine: The Board Game,7.81,9852
1,Phoenicia,6.55,1883
1,Risk: Star Wars – Clone Wars Edition,6.02,1599
1,Apocalypse World,8.07522,222
1,Next War: Poland,8.11,198
1,Star Wars Roleplaying Game: Saga Edition,7.35152,198
1,Dark Sun Boxed Set,7.87155,181
1,The Star Wars Sourcebook,8.07948,134
1,Star Wars: Age of Rebellion Core Rulebook,8.00417,120
2,Gloomhaven: Jaws of the Lion,8.68,15918
2,Nidavellir,7.71,6051
2,Eclipse: Second Dawn for the Galaxy,8.68,5373
2,Eclipse: Second Dawn for the Galaxy,8.68,5373
2,Eclipse: Second Dawn for the Galaxy,8.68,5373
2,Clank!: Legacy – Acquisitions Incorporated,8.7,4935
2,Clank!: Legacy – Acquisitions Incorporated,8.7,4935
2,Rhino Hero: Super Battle,7.28,4020
2,Sleeping Gods,8.51,2854
2,Too Many Bones: Undertow,8.74,2100
3,El Grande,7.75,24477
3,Tokaido,6.97,22188
3,Modern Art,7.44,18108
3,Twilight Imperium: Fourth Edition,8.68,16025
3,Twilight Imperium: Fourth Edition,8.68,16025
3,Russian Railroads,7.76,15840
3,War of the Ring: Second Edition,8.51,15498
3,War of the Ring: Second Edition,8.51,15498
3,War of the Ring: Second Edition,8.51,15498
3,War of the Ring: Second Edition,8.51,15498
4,Player's Handbook (D&D 5e),8.12919,928
4,Player's Handbook (D&D 5e),8.12919,928
4,Dungeon Master's Guide (D&D 5e),7.92358,494
4,Dungeons & Dragons Starter Set,8.01501,403
4,Dungeon Master's Guide (D&D 3.5e),7.15539,362
4,Warhammer Fantasy Roleplay Core Set,7.98026,309
4,Monster Manual (D&D 3.5e),7.1625,308
4,Delta Green,8.56642,271
4,Forgotten Realms Campaign Setting,7.67662,263
4,Monster Manual (D&D 4e),6.70148,237
5,Chaos in the Old World,7.68,14669
5,Tales of the Arabian Nights,7.19,11983
5,Pandemic: Reign of Cthulhu,7.41,8640
5,Kingdom Death: Monster,8.61,8065
5,Kingdom Death: Monster,8.61,8065
5,Blackout: Hong Kong,7.48,4532
5,Aton,6.87,3423
5,Whitehall Mystery,7.58,2829
